interaction_type,duration,page_or_product,age,converted
12,91.0,3,24.0,1
12,49.0,27,34.0,1
12,110.0,3,18.0,1
1,6.0,20,31.0,0
12,120.0,27,39.0,1
10,5.0,23,30.0,0
12,78.0,14,27.0,1
12,102.5,18,42.0,1
12,64.5,21,32.0,1
12,21.5,19,26.0,1
12,34.0,27,34.0,1
8,2.0,21,42.0,0
3,48.0,11,48.0,0
8,1.0,3,34.0,0
12,55.0,30,30.0,1
12,69.5,26,34.0,1
12,200.0,0,31.0,1
12,121.0,21,33.0,1
10,5.0,29,29.0,0
3,34.0,0,35.0,0
11,265.0,1,35.0,0
12,22.0,22,25.0,1
12,82.0,26,35.0,1
12,58.0,19,29.0,1
6,75.0,2,18.0,0
12,64.0,30,18.0,1
12,100.5,21,51.0,1
12,85.5,26,24.0,1
12,80.0,26,37.0,1
7,21.5,30,26.0,0
12,69.5,27,34.0,1
2,51.0,25,46.0,0
12,60.0,27,44.0,1
12,33.0,21,33.0,1
9,34.0,26,38.0,0
12,70.0,26,21.0,1
12,44.0,27,34.0,1
6,121.0,2,55.0,0
12,70.0,31,46.0,1
6,22.0,19,50.0,0
2,74.0,8,20.0,0
12,11.0,26,25.0,1
6,98.0,27,33.0,0
6,131.0,21,47.0,0
8,10.0,16,33.0,0
11,124.0,12,33.0,0
12,71.0,17,20.0,1
6,48.0,30,34.0,0
12,59.0,21,32.0,1
12,8.0,26,34.0,1
2,68.0,14,31.0,0
12,60.0,3,28.0,1
8,7.0,27,18.0,0
12,120.0,27,39.0,1
12,71.0,26,37.0,1
12,10.0,18,18.0,1
12,71.0,18,37.0,1
12,101.0,4,49.0,1
12,252.0,12,42.0,1
12,71.0,4,37.0,1
12,71.0,26,20.0,1
12,32.5,18,48.0,1
12,20.0,21,18.0,1
12,147.0,19,27.0,1
8,2.0,26,44.0,0
7,5.0,16,28.0,0
6,144.0,21,18.0,0
11,89.0,13,44.0,0
12,42.0,21,47.0,1
3,9.0,32,24.0,0
12,116.5,22,26.0,1
12,87.0,22,28.0,1
12,120.0,21,39.0,1
12,32.0,31,31.0,1
12,65.5,18,35.0,1
3,28.0,9,18.0,0
12,166.0,32,34.0,1
12,10.0,27,34.0,1
